"Quarters","Rent_VW"
"CBSAID","39540"
"2000Q1",NA
"2000Q2",NA
"2000Q3",NA
"2000Q4",NA
"2001Q1",NA
"2001Q2",NA
"2001Q3",NA
"2001Q4",NA
"2002Q1",NA
"2002Q2",NA
"2002Q3",NA
"2002Q4",NA
"2003Q1",NA
"2003Q2",NA
"2003Q3",NA
"2003Q4",NA
"2004Q1",NA
"2004Q2",NA
"2004Q3",NA
"2004Q4",NA
"2005Q1",NA
"2005Q2",NA
"2005Q3",NA
"2005Q4",NA
"2006Q1","13.5449361801147"
"2006Q2","13.9171991348267"
"2006Q3","14.0661153793335"
"2006Q4","14.039267539978"
"2007Q1","13.8301191329956"
"2007Q2","13.1730222702026"
"2007Q3","13.071418762207"
"2007Q4","13.3739786148071"
"2008Q1","13.2783880233765"
"2008Q2","12.9902563095093"
"2008Q3","12.4542379379272"
"2008Q4","12.8247489929199"
"2009Q1","12.1070909500122"
"2009Q2","11.8919906616211"
"2009Q3","12.389347076416"
"2009Q4","11.8077878952026"
"2010Q1","11.9550619125366"
"2010Q2","12.134690284729"
"2010Q3","12.8419046401978"
"2010Q4","13.0202703475952"
"2011Q1","12.8957099914551"
"2011Q2","12.8538513183594"
"2011Q3","12.7407827377319"
"2011Q4","12.2550640106201"
