"Quarters","Rent_EW","Rent_VW"
"CBSAID","31020","OFF"
"2003Q2","11.4","11.4"
"2003Q3","11.4","11.4"
"2003Q4","14.7","13.982608695652"
"2004Q1","11.4","11.4"
"2004Q2","11.4","11.4"
"2004Q3","11.4","11.4"
"2004Q4","11.4","11.4"
"2005Q1","14.5","5.465116279069"
"2005Q2","13.466666666666","9.141592920353"
"2005Q3","13.466666666666","9.141592920353"
"2005Q4","14.5","5.465116279069"
"2006Q1","14.2","10.366238894373"
"2006Q2","14.2","10.366238894373"
"2006Q3","14.617086834733","11.555225019069"
"2006Q4","14.617086834733","11.555225019069"
"2007Q1","15.659803921568","15.596979865771"
"2007Q2","15.243243243243","15.163306451612"
"2007Q3","15.541556262144","15.612843182875"
"2007Q4","15.541556262144","15.612843182875"
"2008Q1","18.047921568627","19.454568937681"
"2008Q2","18.04","17.701538461538"
"2008Q3","17.184","19.174845360824"
"2008Q4","16.2","18.917509727626"
"2009Q1","15.42","18.338050734312"
"2009Q2","13.745974165769","13.592678308436"
"2009Q3","14.058441665976","14.752230726942"
"2009Q4","13.066332176217","13.727456660688"
"2010Q1","11.096310068649","11.272940624266"
"2010Q2","10.272801059443","9.236492566862"
"2010Q3","10.330916749559","9.435459247258"
"2010Q4","11.112452129508","10.344925829248"
"2011Q1","11.891848754495","11.2156166114"
"2011Q2","11.357052473179","11.899980498269"
"2011Q3","11.33998951974","11.237273055856"
"2011Q4","11.682100228438","11.23573436069"
"2012Q1","12.598130709695","11.597517052889"
"2012Q2","12.659913328573","12.4443740702"
