"Quarters","Rent_VW"
"CBSAID","46700"
"2000Q1","3.55957102775574"
"2000Q2","3.72424387931824"
"2000Q3","3.87815451622009"
"2000Q4","3.86830639839172"
"2001Q1","3.97948336601257"
"2001Q2","3.95863366127014"
"2001Q3","3.97075748443604"
"2001Q4","3.99022150039673"
"2002Q1","4.04280471801758"
"2002Q2","4.0264105796814"
"2002Q3","4.12964725494385"
"2002Q4","4.24011850357056"
"2003Q1","3.99919009208679"
"2003Q2","4.14318037033081"
"2003Q3","4.15219688415527"
"2003Q4","4.09963893890381"
"2004Q1","4.08393716812134"
"2004Q2","4.15366125106812"
"2004Q3","4.13305568695068"
"2004Q4","4.16840362548828"
"2005Q1","4.24664449691772"
"2005Q2","4.21573400497437"
"2005Q3","4.29625749588013"
"2005Q4","4.50008296966553"
"2006Q1","4.62168884277344"
"2006Q2","4.76677083969116"
"2006Q3","4.76859903335571"
"2006Q4","4.82024669647217"
"2007Q1","4.99219465255737"
"2007Q2","5.23042726516724"
"2007Q3","5.3114447593689"
"2007Q4","5.61564302444458"
"2008Q1","5.59521198272705"
"2008Q2","5.67707204818726"
"2008Q3","5.59329032897949"
"2008Q4","5.47564172744751"
"2009Q1","5.58693599700928"
"2009Q2","5.50987672805786"
"2009Q3","5.62922477722168"
"2009Q4","5.40357398986816"
"2010Q1","5.25977563858032"
"2010Q2","5.35372447967529"
"2010Q3","5.25884199142456"
"2010Q4","5.30552196502686"
"2011Q1","5.11449527740479"
"2011Q2","5.04913902282715"
"2011Q3","5.1794548034668"
"2011Q4","5.11113166809082"
