"Quarters","Rent_EW","Rent_VW"
"CBSAID","42044","APT"
"1998Q1","12.599875930521","12.599875930521"
"1998Q2","12.599875930521","12.599875930521"
"1998Q3","22.98046875","22.98046875"
"1998Q4","22.98046875","22.98046875"
"1999Q1","22.98046875","22.98046875"
"1999Q2","22.98046875","22.98046875"
"1999Q3","22.98046875","22.98046875"
"1999Q4","22.98046875","22.98046875"
"2000Q1","22.98046875","22.98046875"
"2000Q2","22.98046875","22.98046875"
"2000Q3","19.080234375","15.569187292925"
"2000Q4","15.18","15.18"
"2001Q1","15.18","15.18"
"2001Q4","19.98","19.98"
"2002Q1","13.53","11.857777777777"
"2002Q2","13.53","11.857777777777"
"2002Q3","13.53","11.857777777777"
"2002Q4","13.53","11.857777777777"
"2003Q1","13.53","11.857777777777"
"2003Q2","34.979961832061","34.979961832061"
"2003Q3","42.141365162252","42.141365162252"
"2003Q4","38.55721647492","38.985405291893"
"2004Q1","38.625334239578","38.860060261131"
"2004Q2","38.23948874391","38.630098157576"
"2004Q3","38.554214781978","39.360611426973"
"2004Q4","38.278035043804","38.360866433992"
"2005Q1","38.490016778523","38.620560514324"
"2005Q2","34.5","35.651894388614"
"2005Q3","34.5","35.651894388614"
"2005Q4","34.5","35.651894388614"
"2006Q1","33","35.073057314135"
"2006Q2","33","35.073057314135"
"2006Q3","33","37.079671618451"
"2006Q4","33","36.776605298607"
"2007Q1","33","36.776605298607"
"2007Q2","30","30"
"2007Q3","30","30"
"2007Q4","32","33.870551553596"
"2008Q1","33","33.462870334744"
"2008Q2","33","33.500379075056"
"2008Q3","32.205300272975","32.838229719484"
"2008Q4","31.5","32.831771463119"
"2009Q1","31.5","32.831771463119"
"2009Q2","32.773163467902","25.661879080329"
"2009Q3","32.443106562311","24.621844273185"
"2009Q4","27.75","20.000774713356"
"2010Q1","27","17.568491947291"
"2010Q2","26.25","17.21710102489"
"2010Q3","26.25","17.297454804947"
"2010Q4","26.641783648503","19.028287163479"
"2011Q1","33","33"
