"Quarters","Rent_VW"
"CBSAID","38300"
"2000Q1","759.45654296875"
"2000Q2","764.573486328125"
"2000Q3","770.063903808594"
"2000Q4","775.5283203125"
"2001Q1","784.675537109375"
"2001Q2","786.465942382812"
"2001Q3","785.051513671875"
"2001Q4","786.568908691406"
"2002Q1","789.114990234375"
"2002Q2","794.759216308594"
"2002Q3","803.197570800781"
"2002Q4","810.186706542969"
"2003Q1","812.570373535156"
"2003Q2","816.748779296875"
"2003Q3","818.437316894531"
"2003Q4","818.4794921875"
"2004Q1","817.994689941406"
"2004Q2","819.859924316406"
"2004Q3","821.488098144531"
"2004Q4","823.468933105469"
"2005Q1","828.14599609375"
"2005Q2","832.712158203125"
"2005Q3","839.794250488281"
"2005Q4","844.669982910156"
"2006Q1","848.387634277344"
"2006Q2","851.902709960938"
"2006Q3","856.294311523438"
"2006Q4","860.869079589844"
"2007Q1","865.447021484375"
"2007Q2","871.5654296875"
"2007Q3","874.964599609375"
"2007Q4","879.967590332031"
"2008Q1","883.899536132812"
"2008Q2","885.438232421875"
"2008Q3","885.951477050781"
"2008Q4","883.725830078125"
"2009Q1","876.083312988281"
"2009Q2","865.535949707031"
"2009Q3","869.072204589844"
"2009Q4","872.936767578125"
"2010Q1","873.690246582031"
"2010Q2","876.6611328125"
"2010Q3","882.683898925781"
"2010Q4","887.978820800781"
"2011Q1","896.719299316406"
"2011Q2","906.073791503906"
"2011Q3","916.164794921875"
"2011Q4","928"
