"Quarters","Rent_VW"
"CBSAID","40140"
"2000Q1","794.764343261719"
"2000Q2","813.657348632812"
"2000Q3","833.164123535156"
"2000Q4","852.71484375"
"2001Q1","872.176147460938"
"2001Q2","890.901672363281"
"2001Q3","907.96533203125"
"2001Q4","923.387756347656"
"2002Q1","935.82470703125"
"2002Q2","948.076904296875"
"2002Q3","959.948120117188"
"2002Q4","972.424194335938"
"2003Q1","984.109069824219"
"2003Q2","993.730529785156"
"2003Q3","1002.71472167969"
"2003Q4","1010.72515869141"
"2004Q1","1017.46026611328"
"2004Q2","1027.05859375"
"2004Q3","1035.61486816406"
"2004Q4","1043.50732421875"
"2005Q1","1053.986328125"
"2005Q2","1063.20458984375"
"2005Q3","1079.560546875"
"2005Q4","1097.08044433594"
"2006Q1","1117.11279296875"
"2006Q2","1133.03271484375"
"2006Q3","1149.55126953125"
"2006Q4","1165.85290527344"
"2007Q1","1181.51049804688"
"2007Q2","1193.22241210938"
"2007Q3","1186.83911132812"
"2007Q4","1193.20397949219"
"2008Q1","1187.66430664062"
"2008Q2","1177.02282714844"
"2008Q3","1162.75500488281"
"2008Q4","1143.22265625"
"2009Q1","1118.55700683594"
"2009Q2","1097.37084960938"
"2009Q3","1089.87927246094"
"2009Q4","1081.40002441406"
"2010Q1","1070.84094238281"
"2010Q2","1069.54211425781"
"2010Q3","1070.60571289062"
"2010Q4","1052.0185546875"
"2011Q1","1059.08227539062"
"2011Q2","1066.61218261719"
"2011Q3","1070.36743164062"
"2011Q4","1078.79675292969"
